Title,Location,Price,Area,Carpet Area,Status,Floor,Transaction,Furnishing,Facing,Overlooking,Ownership,Car Parking,Bathroom,Balcony
4 BHK Builder Floor for Sale in Panchsheel Park New Delhi,N/A,竄ｹ19 Cr,4500 sqft,4500 sqft,Ready to Move,2 out of 4,Resale,Semi-Furnished,N/A,Main Road,Freehold,3 Covered,5,Yes
4 BHK Apartment for Sale in Model Town New Delhi,N/A,竄ｹ5.50 Cr,3450 sqft,N/A,Ready to Move,7 out of 19,Resale,Semi-Furnished,North,"Garden/Park, Pool, Main Road",Freehold,2 Covered,4,Yes
7 BHK Villa for Sale in Janakpuri New Delhi,N/A,竄ｹ25 Cr,520 sqyrd,520 sqyrd,Ready to Move,N/A,Resale,Furnished,West,N/A,Freehold,8 Covered,7,Yes
3 BHK Apartment for Sale in Okhla New Delhi,N/A,竄ｹ7.13 Cr,2753 sqft,N/A,N/A,N/A,New Property,Unfurnished,N/A,N/A,N/A,N/A,4,Yes
4 BHK Apartment for Sale in Chattarpur New Delhi,N/A,竄ｹ7.35 Cr,4046 sqft,N/A,N/A,N/A,New Property,Unfurnished,N/A,N/A,N/A,N/A,4,Yes
3 BHK Apartment for Sale in Okhla New Delhi,N/A,竄ｹ7.13 Cr,2752 sqft,N/A,N/A,N/A,New Property,Unfurnished,N/A,N/A,N/A,N/A,4,Yes
"3 BHK Builder Floor for Sale in Kishangarh, Vasant Kunj New Delhi",N/A,竄ｹ1.50 Cr,1200 sqft,1200 sqft,Ready to Move,1 out of 4,New Property,Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
4 BHK Apartment for Sale in Paschim Vihar New Delhi,N/A,竄ｹ2.90 Cr,2225 sqft,2225 sqft,Ready to Move,2 out of 11,Resale,Unfurnished,North - West,"Garden/Park, Main Road",Freehold,2 Covered,3,Yes
"4 BHK Builder Floor for Sale in Hemkunt Colony, Greater Kailash New Delhi",N/A,竄ｹ10 Cr,3200 sqft,3200 sqft,Ready to Move,3 out of 3,Resale,Unfurnished,East,"Garden/Park, Main Road",Freehold,2 Covered,4,Yes
3 BHK Builder Floor for Sale in Anand Vihar New Delhi,N/A,竄ｹ2.70 Cr,1200 sqft,1200 sqft,Ready to Move,2 out of 4,Resale,Semi-Furnished,North - East,Main Road,Freehold,2 Covered,3,Yes
"4 BHK Apartment for Sale in Moti Nagar, Kirti Nagar New Delhi",N/A,竄ｹ11 Cr,2500 sqft,2500 sqft,Ready to Move,21 out of 35,Resale,Semi-Furnished,East,"Garden/Park, Main Road",Freehold,2 Covered,4,Yes
3 BHK Apartment for Sale in Dwarka Sector 9 New Delhi,N/A,竄ｹ2.72 Cr,1600 sqft,N/A,Ready to Move,4 out of 6,Resale,Semi-Furnished,N/A,"Garden/Park, Main Road",Freehold,N/A,4,Yes
3 BHK Builder Floor for Sale in Pitam Pura New Delhi,N/A,竄ｹ1.70 Cr,1000 sqft,1000 sqft,Ready to Move,1 out of 4,New Property,Semi-Furnished,North,"Garden/Park, Main Road",Freehold,"1 Covered,",2,Yes
3 BHK Apartment for Sale in Commonwealth Games Village New Delhi,N/A,竄ｹ4.45 Cr,1849 sqft,1849 sqft,Ready to Move,3 out of 8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,2 Covered,3,Yes
3 BHK Apartment for Sale in Chattarpur New Delhi,N/A,竄ｹ5.05 Cr,2900 sqft,2900 sqft,Ready to Move,15 out of 24,Resale,Semi-Furnished,North - East,"Pool, Garden/Park, Main Road",Freehold,2 Covered,4,Yes
4 BHK Builder Floor for Sale in Geetanjali Enclave Malviya Nagar New Delhi,N/A,竄ｹ10.50 Cr,342 sqyrd,N/A,Ready to Move,Ground out of 4,New Property,Semi-Furnished,West,N/A,Freehold,2 Covered,5,Yes
3 BHK Builder Floor for Sale in Block G Chittaranjan Park New Delhi,N/A,竄ｹ2.99 Cr,1400 sqft,1400 sqft,Ready to Move,1 out of 4,Resale,Unfurnished,North - East,"Garden/Park, Main Road",Freehold,N/A,3,Yes
4 BHK Builder Floor for Sale in Madhuban Enclave Preet Vihar New Delhi,N/A,竄ｹ3.75 Cr,2500 sqft,2500 sqft,Ready to Move,1 out of 4,Resale,Semi-Furnished,North - East,Garden/Park,Freehold,N/A,3,Yes
2 BHK Apartment for Sale in Sector 10 Dwarka New Delhi,N/A,竄ｹ2 Cr,1000 sqft,1000 sqft,Ready to Move,4 out of 4,Resale,Semi-Furnished,N/A,Garden/Park,Freehold,"1 Covered,",2,Yes
